ID NO,Name,Title,Date,Venue,Region,Oppose/Support,Party Affiliation,IDNO,Name,Month,Day ,Year,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
1009,Chaffetz,Representative,3-Jun-11,House,Libya,0,R,1009,Chaffetz,6,3,11,169,11.27,21.3,80.47,52.66,14.2,4.73,2.37,1.78,0,0.59,0,9.47,10.06,11.83,8.88,0,10.06,0.59,0,15.38,4.14,1.78,0.59,0,0,7.1,0,0.59,2.37,5.33,1.78,3.55,0,2.96,0,11.83,2.37,1.18,0.59,0,2.37,0,5.33,0.59,1.78,1.18,0.59,0,0.59,0.59,0,0,0,12.43,2.37,5.92,2.96,2.37,1.78,0,0,0,0,2.37,0,0,0,10.06,4.73,0,0,0,0,0,0,1.78,0,0,16.57
1086,Cohen,Representative,24-Jun-11,House,Libya,1,D,1086,Cohen,6,24,11,100,25,22,59,41,11,8,2,2,0,2,2,3,4,15,8,4,5,2,0,9,7,1,0,2,0,12,0,1,1,3,2,1,0,0,1,17,4,0,1,0,0,1,9,1,1,0,1,0,1,0,1,0,0,6,1,2,3,1,2,0,0,0,0,1,0,0,0,6,6,1,0,0,0,0,0,0,0,0,13
1056,Cole,Representative,24-Jun-11,House,Libya,0,R,1056,Cole,6,24,11,188,11.75,36.7,79.79,51.06,15.96,6.38,2.66,2.66,0,0,1.06,9.57,5.32,12.23,9.57,1.06,7.98,2.13,4.79,9.04,5.32,1.6,3.19,0,0,6.91,0,0,1.6,3.72,1.6,2.13,1.6,0.53,0,20.21,4.26,4.26,0.53,1.06,1.6,3.72,5.32,1.06,1.6,0.53,1.06,0,0,0,0,0,0,10.64,1.6,6.38,2.66,2.66,3.72,1.06,0,0.53,0,0.53,0,0,0,8.51,6.91,0,0,0,0,1.06,0,3.19,0,0,19.68
1029,ConnollyVA,Representative,3-Jun-11,House,Libya,1,D,1029,ConnollyVA,6,3,11,393,28.07,36.64,67.68,38.17,6.11,2.29,2.04,0.25,0,0,0,3.82,9.92,6.87,3.05,0.51,3.82,1.02,0.76,12.98,4.33,0.76,1.27,0.51,0,2.54,0,0.25,0,3.56,1.53,2.04,0,1.78,0,16.28,5.09,3.05,1.27,1.27,1.27,2.04,2.29,1.27,0.25,0,0.25,0,0,0,0,0,0,8.65,1.27,5.34,2.04,4.07,6.87,0.25,1.02,0.76,0,1.27,0,0,0,4.83,5.09,0.51,0,0,0,0.25,0,3.05,0,0,13.74
1017,Dicks,Representative,3-Jun-11,House,Libya,1,D,1017,Dicks,6,3,11,567,31.5,38.1,73.9,44.27,5.82,2.82,1.59,1.06,0,0.18,0,3,11.29,9.7,5.64,2.29,4.94,1.06,1.23,12.52,5.64,1.41,2.29,0,0,4.41,0.18,0.18,0.71,4.76,3.53,1.23,0,1.23,0,19.22,4.06,3.53,1.23,1.06,1.94,1.41,4.94,2.12,0.18,0,0.18,0,0,0,0,0,0,13.23,2.29,7.05,3.88,3.35,4.59,0.88,0.35,0.88,0,0.35,0,0.35,0,6.88,5.11,0,0.18,0,0,0.18,0,0.35,0,0,12.7
1053,Dicks,Representative,24-Jun-11,House,Libya,1,D,1053,Dicks,6,24,11,594,19.8,33.5,74.75,46.8,13.97,6.73,3.2,1.85,1.01,0.17,0.51,7.24,6.57,10.61,6.23,2.02,5.89,1.52,1.85,11.78,6.06,1.18,1.01,0.17,0,9.09,0,0.17,0.84,5.05,2.53,2.53,0,1.68,0.34,18.01,3.03,1.52,2.53,0.84,1.52,2.86,5.22,2.02,1.35,0,1.01,0.34,0.17,0.17,0,0,0,10.77,1.68,4.88,4.21,1.52,3.87,0.51,0.17,0.17,0,0.34,0,0,0,7.41,4.71,0.17,0.51,0.17,0,0.17,0,3.03,0,0,16.16
1090,Dreier,Representative,24-Jun-11,House,Libya,1,R,1090,Dreier,6,24,11,280,28,27.14,67.14,47.14,6.79,2.14,1.79,0,0,0.36,0,4.64,7.86,13.57,7.86,3.21,3.57,1.07,0.71,14.64,4.29,2.14,1.79,1.43,0,3.57,0,0.71,2.14,0.71,0.36,0.36,0,0,0,14.64,4.29,1.79,1.07,2.14,1.43,0,1.79,3.21,0.71,0,0.71,0,0,0,0,0,0,11.07,0.36,5.36,3.93,2.14,0.36,0,0.71,0.71,0,0,0,0,0,8.93,2.86,0,0,0,0,0.71,0,7.14,0.36,0,20.36
1078,Ellison,Representative,24-Jun-11,House,Libya,1,D,1078,Ellison,6,24,11,236,19.67,28.39,78.39,51.27,16.1,8.47,3.81,2.97,0.42,0,1.27,7.63,2.97,12.71,9.75,1.69,9.32,0.42,3.81,11.44,8.05,0.85,1.27,0,0,8.05,0,0.42,2.54,4.66,3.81,0.85,0,0.42,0.42,21.61,2.97,2.12,1.27,2.54,0.85,2.12,9.75,2.12,0.85,0,0.85,0,0,0,0,0,0,16.53,1.27,10.17,5.51,2.97,2.12,0,0,2.12,0.42,0.85,0.85,0,0.85,5.93,2.97,0,0,0,0,0.42,0,1.27,0,0,10.59
1026,Farr,Representative,3-Jun-11,House,Libya,0,D,1026,Farr,6,3,11,223,10.14,32.74,70.85,40.36,8.07,5.83,3.59,1.79,0,0,0.45,2.24,5.38,8.97,4.93,0.9,5.38,0.45,1.35,13.9,4.48,1.79,2.24,0,0,4.93,0,0,1.35,7.17,5.38,1.79,0,1.35,0.45,12.56,1.35,1.79,0.9,0,2.24,1.35,4.93,0.9,2.69,0.9,0.9,0.9,0.45,0.45,0,0,0,14.8,2.69,6.73,4.93,3.59,6.73,0,0,0,0,0.45,0,0,0,11.21,4.48,0,0,0,0,0.9,0,0.45,0,0,17.04
1011,Flake,Representative,3-Jun-11,House,Libya,0,R,1011,Flake,6,3,11,169,21.12,31.95,72.78,43.79,8.28,6.51,3.55,2.37,0,0.59,0,1.78,10.06,10.65,4.73,3.55,5.92,0,5.33,11.83,1.78,0.59,1.78,0.59,0,7.1,0,0,0.59,7.69,4.73,2.37,0.59,1.78,0,10.65,2.96,2.37,0.59,2.37,0.59,1.18,1.18,1.18,1.78,0.59,1.18,0,1.18,1.18,0,0,0,14.2,3.55,5.92,4.73,1.78,2.37,0,0,0,0,0,0,0,0,5.33,7.69,0,0,0,0,0,0,0.59,0,0,13.61
