ID NO,Name,Title,Date,Venue,Region,Oppose/Support,,Party Affiliation,ID,Name,Month,Day,Year,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
448,Nickles,Senator,2-Oct-98,Senate,Kosovo,0,S.Con.Res. 21,Republican,448,Nickles,10,2,98,1,401,12.53,24.19,81.55,54.86,14.71,10.72,3.74,3.49,0,1.25,2.24,3.99,6.98,13.22,8.48,3.49,7.73,0.75,3.24,13.97,7.23,1.5,2.24,0.5,0,12.47,0,0.75,2.24,3.74,2.99,0.5,0.5,0,0,19.7,2.24,0.75,1.75,3.49,1,1.5,8.48,2,1.5,0.25,0.75,0.25,0.75,0.25,0,0.5,0,10.47,2.24,3.99,3.99,4.49,4.24,0.75,0.25,1,0,0,0,0,0,8.48,3.99,0,0,0,0,0,0,2.24,0,0,14.71
91,Domenici,Senator,5-Oct-98,Senate,Kosovo,0,S.Con.Res. 21,Republican,91,Domenici,10,5,98,1,400,21.05,32.25,74,46,10.5,8,3.25,3,0.5,0.5,0.75,2.5,6,11,6.5,0.5,8,1.25,3.25,12.25,5.75,0.25,3.25,1,0,8,0.5,0,1,6,2.75,3.25,0,1,1,15,2.5,1.75,1.5,1.75,1.25,1,4.75,1.25,0.75,0.25,0.25,0.25,0.5,0,0.25,0,0.25,14,2.25,6.25,5,3.5,2.5,1.25,0.5,1,0,0.25,0,0,0,4.75,4,0.25,0.25,0,0,0,0,1.25,0,0.25,10.75
81,Dewine,Senator,6-Oct-98,Senate,Kosovo,1,S.Con.Res. 21,Republican,81,Dewine,10,6,98,1,1451,17.7,31.08,70.99,46.11,8.2,3.58,0.55,1.59,0,0.76,0.69,4.62,6.48,10.75,7.79,2.21,5.24,1.31,2.89,12.34,5.93,1.52,3.1,0.76,0,5.51,0,0.21,1.1,5.24,2.55,2.69,0.55,1.72,0.14,16.33,1.45,1.65,2.14,3.1,1.79,0.76,4.55,2.76,0.96,0.48,0.14,0.34,0.62,0,0.48,0,0.14,12.2,1.45,5.58,5.1,3.31,2.69,0.14,0.48,0.07,0.07,0.48,0.07,0.07,0.07,5.51,6.89,0.07,0,0.62,0,0.48,0,0.69,0,0,14.27
88,Domenici,Senator,7-Oct-98,Senate,Kosovo,0,S.Con.Res. 21,Republican,88,Domenici,10,7,98,1,1073,15.78,33.55,73.72,48.56,10.16,5.87,2.14,2.05,0.37,0.09,1.21,4.29,7.64,12.4,9.23,1.12,7.27,1.68,3.17,11.65,3.54,1.3,2.89,0.75,0,6.8,0.19,0.19,0.75,5.5,2.89,2.24,0.09,0.84,0.65,15.28,2.98,2.24,1.58,1.49,1.86,1.21,3.36,1.86,0.09,0,0,0,0.65,0,0.47,0,0.19,10.34,1.68,5.59,2.89,2.89,2.7,0.56,0.47,0.93,0.09,0.19,0,0.09,0,7.64,4.1,0.28,0.19,0.37,0,0.65,0,2.8,0,0,16.03
89,Hutchison,Senator,7-Oct-98,Senate,Kosovo,0,S.Con.Res. 21,Republican,89,Hutchison,10,7,98,1,624,15.22,25.48,78.85,55.29,14.26,9.46,1.6,6.09,0.32,0.64,0.8,4.81,8.65,17.95,12.98,4.65,10.42,0.64,2.88,11.06,4.49,2.08,0.8,0.64,0,13.14,0.16,0,0.96,2.56,1.28,1.28,0,0.32,0.48,18.75,1.92,1.76,1.6,1.76,1.12,1.76,8.33,2.72,1.76,0.8,0.64,0,0,0,0,0,0,11.7,1.92,5.29,4.49,3.69,3.53,0.8,0.48,0.48,0,0,0.16,0.16,0,5.77,4.81,0,0,1.28,0,0,0,3.04,0,0.32,15.22
449,Warner,Senator,8-Oct-98,Senate,Kosovo,1,S.Con.Res. 21,Republican,449,Warner,10,8,98,1,2466,18.82,29.36,75.3,49.8,11.19,6,3,1.26,0.41,0.49,0.85,5.19,7.99,12.12,8.31,1.38,7.7,1.34,3.08,12.25,3.89,1.78,2.15,0.57,0,6.12,0,0.08,0.61,4.01,2.23,1.78,0.08,0.73,0.41,17.07,2.07,2.8,1.74,1.54,1.18,1.38,4.87,2.31,0.65,0.2,0.2,0.2,0.28,0.08,0.16,0,0.04,13.79,1.95,7.42,4.26,2.72,2.68,0.36,0.28,0.04,0.04,0.2,0,0.16,0.08,6.24,8.27,0.2,0.24,0.12,0.04,0.12,0,0.12,0,0,15.37
456,Wellstone,Senator,8-Oct-98,Senate,Kosovo,1,S.Con.Res. 21,Democrat,456,Wellstone,10,8,98,1,1309,19.25,32.93,72.04,45.38,10.08,6.04,2.14,2.06,0,0.84,0.99,4.05,5.81,11.15,6.95,1.6,6.42,1.91,3.13,12.76,5.5,1.45,1.38,0.23,0,7.56,0.23,0.08,0.99,4.66,2.06,2.6,0.99,0.76,0.38,17.88,1.91,2.14,2.9,1.76,1.38,1.76,5.5,2.14,1.22,0.46,0.23,0.46,0.84,0.38,0.31,0,0.15,12.15,1.91,5.5,5.12,1.68,1.6,0.31,0.31,0.23,0.08,0.76,0,0,0.08,6.49,3.97,0,0.15,0,0,0.76,0,0.46,0.23,0,12.3
77,Daschle,Senator,12-Oct-98,Senate,Kosovo,1,S.Con.Res. 21,Democrat,77,Daschle,10,12,98,1,838,17.1,35.56,70.05,42.24,6.92,3.1,0.6,1.43,0,0.72,0.36,3.82,7.76,8.71,6.21,1.67,4.3,0.95,1.55,13.96,3.58,1.07,1.07,1.31,0,6.21,0,0,1.43,4.77,2.27,2.51,0.24,1.67,0.36,15.99,2.03,2.74,1.55,1.79,2.27,1.31,4.42,1.67,0.84,0.12,0.48,0.24,0.6,0.24,0.36,0,0,14.92,2.39,7.16,5.13,2.98,2.74,0.12,0.36,0.24,0.36,0.95,0,0,0,6.68,5.01,0,0.72,0,0,0.36,0,1.43,0,0,14.2
57,Biden,Senator,14-Oct-98,Senate,Kosovo,1,S.Con.Res. 21,Democrat,57,Biden,10,14,98,1,2553,20.42,32.63,71.21,45.83,9.17,5.29,2.47,1.21,0.08,1.02,0.51,3.88,7.09,11.79,7.68,2.15,5.64,2.04,1.88,13.36,4.19,1.25,1.84,1.18,0,6.46,0,0.08,0.71,4.43,2.94,1.41,0.12,0.51,0.27,15.16,1.68,2.51,2.35,1.68,1.61,1.25,3.49,1.96,0.71,0.16,0.35,0.24,0.35,0.08,0.12,0.16,0,13,1.53,6.89,4.31,3.13,2.78,0.55,0.24,0.27,0.08,0.31,0.04,0.04,0.08,5.68,7.72,0.04,0.04,0.04,0,0.63,0,1.18,0,0,15.32
64,Byrd,Senator,14-Oct-98,Senate,Kosovo,1,S.Con.Res. 21,Democrat,64,Byrd,10,14,98,1,1954,19.74,32.14,71.75,47.85,9.26,4.91,1.69,2.05,0,0.41,0.77,4.35,8.09,11.16,7.47,1.64,6.76,1.33,3.12,13.15,4.96,1.64,1.69,0.31,0,7.22,0,0.1,1.33,4.15,2,2.1,0.46,1.02,0.2,15.76,2,1.18,1.48,2.3,1.02,1.38,5.02,2.66,0.72,0.26,0.2,0.2,0.51,0.26,0.2,0,0.05,12.23,2.25,6.14,3.89,4.4,2.41,0.2,0.26,0.46,0,0.56,0.15,0.05,0.15,5.42,5.48,0.05,0.26,0,0,0.2,0,1.02,0,0,12.44
