ID NO,Name,Title,Date,Venue,Region,Oppose/Support,,Party Affiliation,ID,Name,Month,Day,Year,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
27,Brownback,Senator,13-Feb-02,Senate,Iraq,1,H.J. Res 114,Republican,27,Brownback,2,13,2,1,352,16,26.7,69.89,45.45,8.81,4.83,0.57,1.42,0,1.99,0.85,3.98,7.1,10.8,7.67,2.27,6.82,0,1.42,13.92,3.69,1.42,2.56,0.57,0,6.25,0,0.28,0.57,6.82,2.84,3.98,0.28,3.12,0.28,11.65,1.42,1.14,0,0.28,0.85,1.14,5.4,1.14,0.85,0.57,0,0.28,0.57,0.28,0.28,0,0,16.76,2.27,9.38,5.68,1.99,3.12,0.28,0.85,0.28,0,1.14,0,0,0,7.95,2.56,0.28,0,0,0,0.28,0,0,0,0.28,11.36
320,Murkowski,Senator,4-Mar-02,Senate,Iraq,1,H.J. Res 114,Republican,320,Murkowski,3,4,2,1,1454,17.52,26.34,73.93,49.66,15.61,9.01,2.41,4.54,0.14,1.03,0.89,6.6,5.91,12.38,7.84,2.06,7.43,0.89,2.82,12.38,3.37,0.96,2.54,0.55,0,10.39,0,0.34,0.96,3.78,1.86,1.79,0.34,0.76,0.21,14.44,2.13,1.58,1.03,2.06,1.24,0.48,4.75,1.93,1.86,0.48,0.62,0.14,0.62,0.28,0.34,0,0,12.52,2.27,6.6,3.71,1.99,1.99,0.48,0.34,0.55,0.14,0.21,0,0,0.07,6.4,6.46,0.14,0.28,0.69,0,0.76,0,0.62,0,0.14,15.47
321,Murkowski,Senator,12-Mar-02,Senate,Iraq,1,H.J. Res 114,Republican,321,Murkowski,3,12,2,1,2827,13.66,23.2,74.25,52.1,13.23,7.11,0.88,3.15,0.81,1.41,0.85,6.12,7.89,14.61,9.66,2.51,8.95,0.85,3.86,12.63,3.96,1.06,1.91,1.03,0,9.76,0.04,0.07,1.06,2.37,1.17,1.2,0.25,0.71,0.07,12.95,1.8,1.87,1.27,1.73,0.96,0.64,4.56,1.17,1.91,0.88,0.35,0.11,0.25,0.07,0.11,0,0.07,13.12,1.31,8.17,3.61,1.17,1.27,0.46,0.28,0.53,0.07,0.18,0.14,0.04,0,8.14,4.85,0.42,0.25,0.35,0,0.5,0,0.71,0,0.11,15.32
17,Akaka,Senator,10-Apr-02,Senate,Iraq,0,H.J. Res 114,Democrat,17,Akaka,4,10,2,1,625,19.53,39.68,65.28,37.76,5.28,2.88,0.32,2.24,0,0,0.32,2.4,7.36,8,4.96,1.44,3.68,0.96,1.12,12.32,5.6,0.48,1.92,0.16,0,4.96,0,0.16,0.48,6.4,2.56,3.84,0.32,2.72,0.64,16.32,2.08,2.4,1.44,1.92,1.28,1.76,5.76,1.76,0.32,0.16,0,0.16,0.16,0,0.16,0,0,12.16,0.96,7.2,4,4.96,3.68,0.64,0,0.16,0.16,0.48,0,0,0,7.04,5.76,0,0,0.48,0,1.76,0,1.12,0,0,16.16
110,Feingold,Senator,25-Jul-02,Senate,Iraq,0,H.J. Res 114,Democrat,110,Feingold,7,25,2,1,746,22.61,34.05,69.84,43.03,8.04,4.69,2.41,2.01,0,0,0.27,3.35,8.04,10.59,6.43,0.8,5.5,1.47,2.82,13.14,4.56,0.54,1.88,0.13,0,4.83,0,0.13,0.4,7.1,3.35,3.35,0.67,2.55,0,17.56,4.16,2.82,2.28,2.28,1.34,0.67,4.42,1.07,1.61,0.54,0.8,0.13,0.4,0.13,0.13,0,0.13,9.79,1.47,5.76,3.35,2.28,2.95,0.13,0,0,0,0.27,0,0.27,0,6.03,5.5,0,0,0,0,0.4,0,0.54,0,0,12.47
210,Feinstein,Senator,5-Sep-02,Senate,Iraq,1,H.J. Res 114,Democrat,210,Feinstein,9,5,2,1,1858,18.04,29.98,71.21,46.02,9.58,5.38,1.4,2.96,0,0.43,0.59,4.2,7.1,10.39,7,1.13,5.54,1.83,3.39,11.95,5.27,1.08,2.15,0.48,0.05,6.57,0,0.16,0.32,5.87,1.51,4.25,0.86,2.64,0.43,14.96,2.48,1.61,1.29,2.15,0.97,0.7,5.81,1.88,0.7,0.38,0.16,0.05,0.38,0.22,0.16,0,0,13.99,1.94,7.64,3.93,2.1,2.37,0.16,0.11,0.38,0.32,1.08,0,0,0,5.22,7.27,0.27,0,0.75,0,0.7,0,0.86,0.05,0.16,15.34
318,Murkowski,Senator,5-Sep-02,Senate,Iraq,1,H.J. Res 114,Republican,318,Murkowski,9,5,2,1,1054,18.49,26.66,75.05,50.76,12.24,6.45,0.85,3.51,0.09,1.71,0.28,5.79,8.06,11.67,7.97,1.71,7.5,0.95,3.32,14.14,4.17,1.14,0.95,0.66,0,7.5,0,0.28,0.57,3.8,1.42,2.37,0.28,1.9,0.09,17.55,3.61,1.9,1.99,2.28,0.57,0.66,5.98,2.37,1.61,0.47,0.19,0,0.28,0,0.19,0.09,0,11.29,2.37,5.79,2.75,1.61,1.61,0,0.09,1.23,0,0.28,0,0.09,0,5.31,6.26,0.19,0,0.57,0,0.19,0,0.09,0,0.19,12.81
319,Byrd,Senator,5-Sep-02,Senate,Iraq,0,H.J. Res 114,Democrat,319,Byrd,9,5,2,1,511,13.1,23.29,78.47,55.38,14.48,9.78,4.7,4.31,0,0.78,0,4.7,8.22,17.42,11.35,0.2,14.09,2.54,2.35,12.72,4.7,1.57,1.37,0.39,0,10.37,0,0,0.2,3.13,1.57,1.37,0,0.98,0.2,18.79,3.72,1.37,3.13,4.11,0.78,0.78,5.48,2.94,2.54,0,2.35,0.2,0.39,0.2,0.2,0,0,10.96,1.57,7.24,2.15,1.76,1.37,0.39,0,0.2,0.2,0.78,0,0.2,0,7.44,5.28,0,0,0.78,0,0,0,0,0,0,13.5
439,Specter,Senator,5-Sep-02,Senate,Iraq,1,H.J. Res 114,Republican,439,Specter,9,5,2,1,956,18.75,28.24,72.18,48.33,9.41,5.65,1.57,2.51,0,0.73,0.84,3.77,8.05,12.87,9.31,2.72,7.53,1.26,4.39,13.39,5.02,0.42,0.84,0.1,0,6.9,0,0,0.52,3.97,1.88,2.09,0.1,1.46,0.1,14.02,2.62,1.26,1.57,1.26,1.05,0.73,5.44,0.94,1.15,0.52,0.21,0,0.73,0.21,0.31,0,0.21,12.55,3.03,6.28,2.82,2.93,2.41,0.1,0.21,0.1,0.1,0.21,0,0,0,5.65,6.59,0,0.21,0,0,0.31,0,0.21,0,0.1,13.08
581,Feinstein,Senator,5-Sep-02,Senate,Iraq,1,H.J. Res 114,Democrat,581,Feinstein,9,5,2,1,1874,17.85,29.99,71.29,46.16,9.55,5.34,1.39,2.93,0,0.43,0.59,4.22,7.15,10.41,7.04,1.12,5.6,1.81,3.36,12.06,5.23,1.12,2.13,0.48,0.05,6.56,0,0.16,0.32,5.92,1.49,4.32,0.91,2.67,0.43,14.89,2.45,1.6,1.28,2.13,0.96,0.69,5.76,1.92,0.69,0.37,0.16,0.05,0.37,0.21,0.16,0,0,13.98,1.92,7.68,3.9,2.08,2.4,0.16,0.11,0.37,0.32,1.12,0,0,0,5.28,7.26,0.27,0,0.75,0,0.69,0,0.91,0.05,0.16,15.42
